PC1,PC2,PC3,Preferred.Name,ER.Activity,Class_Info
0.299832443,4.207133328,-1.320231405,H3B-5942,Antagonist,1
0.369795564,4.182724373,-1.346555962,H3B-5942,Antagonist,1
0.430730915,4.137230374,-1.383970489,H3B-5942,Antagonist,1
0.487174539,4.099012658,-1.414988308,H3B-5942,Antagonist,1
0.54449284,4.062024826,-1.415805511,H3B-5942,Antagonist,1
0.598614506,4.030051496,-1.415670428,H3B-5942,Antagonist,1
0.662399214,4.003781942,-1.405847347,H3B-5942,Antagonist,1
0.752475941,3.926688644,-1.396589614,H3B-5942,Antagonist,1
0.854066255,3.815798651,-1.333139008,H3B-5942,Antagonist,1
0.938597499,3.797378977,-1.343661288,H3B-5942,Antagonist,1
0.997877419,3.757905855,-1.352670298,H3B-5942,Antagonist,1
1.030068629,3.737521218,-1.356563569,H3B-5942,Antagonist,1
1.117328228,3.680235657,-1.324252436,H3B-5942,Antagonist,1
1.175545816,3.623689281,-1.342560254,H3B-5942,Antagonist,1
1.233354313,3.607161862,-1.344843974,H3B-5942,Antagonist,1
1.294061219,3.524985706,-1.326579598,H3B-5942,Antagonist,1
1.367217462,3.512539719,-1.310746243,H3B-5942,Antagonist,1
1.453349648,3.452032228,-1.315471552,H3B-5942,Antagonist,1
1.502524125,3.408278067,-1.330833287,H3B-5942,Antagonist,1
1.564049858,3.395777389,-1.333600786,H3B-5942,Antagonist,1
1.693258033,3.303743348,-1.343172299,H3B-5942,Antagonist,1
1.749498548,3.286731841,-1.318515801,H3B-5942,Antagonist,1
1.820212663,3.279267708,-1.314412717,H3B-5942,Antagonist,1
1.889499473,3.238731008,-1.312561933,H3B-5942,Antagonist,1
1.97129777,3.216042688,-1.26488305,H3B-5942,Antagonist,1
2.087724468,3.199670204,-1.231999275,H3B-5942,Antagonist,1
2.150722682,3.14408081,-1.257531984,H3B-5942,Antagonist,1
2.220676788,3.095402709,-1.259618131,H3B-5942,Antagonist,1
2.281622843,3.056479814,-1.274194647,H3B-5942,Antagonist,1
2.35494441,2.979064645,-1.279023619,H3B-5942,Antagonist,1
2.438978178,2.89440909,-1.228598582,H3B-5942,Antagonist,1
2.497011392,2.880021831,-1.211615208,H3B-5942,Antagonist,1
2.573859861,2.859329687,-1.19424573,H3B-5942,Antagonist,1
2.63802711,2.818360305,-1.216344574,H3B-5942,Antagonist,1
2.698218516,2.786393342,-1.189829195,H3B-5942,Antagonist,1
2.770260535,2.758979578,-1.151320709,H3B-5942,Antagonist,1
2.862513894,2.725844232,-1.155480903,H3B-5942,Antagonist,1
2.92245904,2.706073423,-1.168429302,H3B-5942,Antagonist,1
2.985536859,2.690324056,-1.170008915,H3B-5942,Antagonist,1
3.068188382,2.658054564,-1.170570093,H3B-5942,Antagonist,1
3.137945763,2.625980675,-1.138857729,H3B-5942,Antagonist,1
3.216665362,2.56365382,-1.18827511,H3B-5942,Antagonist,1
3.293732912,2.532290614,-1.177979105,H3B-5942,Antagonist,1
3.366644497,2.512778074,-1.176413604,H3B-5942,Antagonist,1
3.422177008,2.49177818,-1.161335404,H3B-5942,Antagonist,1
3.485706634,2.429881007,-1.197627187,H3B-5942,Antagonist,1
3.587082952,2.39020441,-1.191535261,H3B-5942,Antagonist,1
3.653659017,2.347964557,-1.198371264,H3B-5942,Antagonist,1
3.726967227,2.300422891,-1.199715501,H3B-5942,Antagonist,1
3.796524242,2.217875872,-1.197306185,H3B-5942,Antagonist,1
3.86018376,2.194370626,-1.196836205,H3B-5942,Antagonist,1
3.926612597,2.155228084,-1.216647819,H3B-5942,Antagonist,1
3.992550949,2.044508532,-1.163269797,H3B-5942,Antagonist,1
4.095103356,2.004072257,-1.146623053,H3B-5942,Antagonist,1
4.165667831,1.978269794,-1.130191234,H3B-5942,Antagonist,1
4.245340968,1.933224076,-1.1110949,H3B-5942,Antagonist,1
4.341219093,1.855156069,-1.15726987,H3B-5942,Antagonist,1
4.391103887,1.829516957,-1.167819805,H3B-5942,Antagonist,1
4.463807854,1.81843712,-1.152234151,H3B-5942,Antagonist,1
4.549114104,1.798291203,-1.161887506,H3B-5942,Antagonist,1
4.607215893,1.760760804,-1.17683237,H3B-5942,Antagonist,1
4.677122683,1.747019815,-1.155571396,H3B-5942,Antagonist,1
4.744924314,1.717532485,-1.147222308,H3B-5942,Antagonist,1
4.801888359,1.702799843,-1.141529901,H3B-5942,Antagonist,1
4.879089718,1.678286723,-1.143822205,H3B-5942,Antagonist,1
4.958284959,1.662042804,-1.112947224,H3B-5942,Antagonist,1
5.012803176,1.625226284,-1.115909481,H3B-5942,Antagonist,1
5.09574184,1.611924261,-1.102875923,H3B-5942,Antagonist,1
5.16062695,1.58166811,-1.104529705,H3B-5942,Antagonist,1
5.265858893,1.569053135,-1.114929347,H3B-5942,Antagonist,1
5.361841651,1.544613268,-1.095483122,H3B-5942,Antagonist,1
5.44202346,1.530233054,-1.090978761,H3B-5942,Antagonist,1
5.493858185,1.499955309,-1.098151809,H3B-5942,Antagonist,1
5.571176158,1.485923146,-1.099486535,H3B-5942,Antagonist,1
5.646971806,1.459268155,-1.099328512,H3B-5942,Antagonist,1
5.721725936,1.402473877,-1.09521695,H3B-5942,Antagonist,1
5.798688206,1.376290784,-1.091339813,H3B-5942,Antagonist,1
5.90801888,1.332873494,-1.031142245,H3B-5942,Antagonist,1
5.991860485,1.229390994,-0.950055904,H3B-5942,Antagonist,1
6.055126258,1.192720798,-0.970659732,H3B-5942,Antagonist,1
6.159573212,1.169661069,-0.945955333,H3B-5942,Antagonist,1
6.213568102,1.132614691,-0.957434282,H3B-5942,Antagonist,1
6.293136603,1.075458756,-0.939143849,H3B-5942,Antagonist,1
6.371760651,1.038656979,-0.93681887,H3B-5942,Antagonist,1
6.455523153,1.02807604,-0.881554917,H3B-5942,Antagonist,1
6.527899131,0.983304262,-0.877641439,H3B-5942,Antagonist,1
6.588168233,0.975269846,-0.890905663,H3B-5942,Antagonist,1
6.690881646,0.916616973,-0.836302066,H3B-5942,Antagonist,1
6.76127826,0.869543831,-0.859926861,H3B-5942,Antagonist,1
6.853817265,0.79358832,-0.888772913,H3B-5942,Antagonist,1
6.916574927,0.766152523,-0.884279187,H3B-5942,Antagonist,1
7.008921513,0.748596308,-0.880232186,H3B-5942,Antagonist,1
7.102558968,0.654977731,-0.82825922,H3B-5942,Antagonist,1
7.199573861,0.628950589,-0.787254777,H3B-5942,Antagonist,1
7.278068043,0.554326378,-0.772439008,H3B-5942,Antagonist,1
7.358104876,0.525730693,-0.768263524,H3B-5942,Antagonist,1
7.425536521,0.477756065,-0.74115955,H3B-5942,Antagonist,1
7.521530448,0.440895795,-0.733038076,H3B-5942,Antagonist,1
7.60770867,0.402648723,-0.720876991,H3B-5942,Antagonist,1
7.673855657,0.359398231,-0.710172663,H3B-5942,Antagonist,1
7.764111054,0.326189228,-0.713138864,H3B-5942,Antagonist,1
7.848214701,0.281609521,-0.699081448,H3B-5942,Antagonist,1
7.907732292,0.262565264,-0.71501685,H3B-5942,Antagonist,1
7.987988599,0.206618247,-0.68950579,H3B-5942,Antagonist,1
8.058053073,0.178931414,-0.657809855,H3B-5942,Antagonist,1
8.110824689,0.143322304,-0.662463939,H3B-5942,Antagonist,1
8.219122458,0.101674405,-0.621740304,H3B-5942,Antagonist,1
8.319717296,0.075582977,-0.588108628,H3B-5942,Antagonist,1
8.428189098,0.027314311,-0.609679187,H3B-5942,Antagonist,1
8.509430434,0.004273094,-0.610067544,H3B-5942,Antagonist,1
8.596986545,-0.009197925,-0.602364514,H3B-5942,Antagonist,1
8.686091354,-0.110827974,-0.526796004,H3B-5942,Antagonist,1
8.766367316,-0.17081303,-0.471495975,H3B-5942,Antagonist,1
8.841541791,-0.205569045,-0.44541156,H3B-5942,Antagonist,1
8.942558909,-0.237709523,-0.442358355,H3B-5942,Antagonist,1
