ETOH_feed,Solvent_flowrate,Solvent_T,Reflux_ratio1,reflux_ratio2,Purity,Q_R1,Q_R2,QC1,QC2,QC3
0.822403333,90.00333333,57.89,1.474166667,1.914166667,0.925421876,9698.06695,3419.90905,-7545.46488,-2632.29362,-2340.84104
0.802556667,75.16333333,56.91,2.6625,1.059166667,0.905836535,13048.4739,2570.0788,-11198.2769,-1861.21257,-1965.30067
0.82093,83.33,37.27,2.755833333,2.510833333,0.923972254,13734.8381,3924.48971,-11456.3351,-3169.82864,-2434.178
0.80091,73.71666667,50.63,2.175833333,0.795833333,0.904206152,11605.026,2323.96109,-9712.35405,-1624.63152,-1998.63665
0.819283333,43.80333333,56.71,2.575833333,0.7075,0.922351064,12155.9073,2041.43254,-10909.6037,-1542.12562,-1146.81997
0.903523333,81.69666667,57.17,2.9925,1.9075,0.999769458,13986.4548,3482.47071,-12054.5445,-2668.46375,-2134.39614
0.878736667,108.7166667,48.65,2.975833333,1.159166667,0.980372339,14768.6928,2823.00507,-12036.8211,-1955.45975,-2981.04793
0.806716667,56.63666667,39.99,0.8325,2.7175,0.909951171,7230.55733,3950.79431,-5599.93722,-3355.19943,-1631.22111
0.880643333,46.27666667,57.85,2.5125,2.359166667,0.982215811,11935.1191,3551.49914,-10631.3907,-3031.63004,-1204.393
0.876396667,53.23,56.43,2.250833333,1.315833333,0.978108425,11288.0488,2662.04691,-9844.934,-2090.82991,-1396.78376
0.917996667,78.01,58.17,2.124166667,2.015833333,0.999857974,11094.4813,3759.25214,-9432.67986,-2792.81054,-2026.12024
0.859063333,105.6366667,44.91,1.0125,1.084166667,0.961287387,8822.75212,2742.26138,-6108.58047,-1887.83014,-2957.30007
0.878216667,43.52333333,45.35,1.245833333,2.844166667,0.979868469,8137.64438,3967.26648,-6799.73635,-3469.10318,-1217.7698
0.907683333,74.51,30.99,1.325833333,1.129166667,0.999861728,9052.09073,2789.3526,-7022.32617,-1966.92526,-2246.26333
0.81469,85.01,39.97,1.279166667,2.7725,0.917824118,9239.82791,4169.2939,-6957.70528,-3405.89679,-2448.37123
0.904563333,104.47,53.05,2.485833333,2.665833333,0.999955998,12981.9783,4319.89682,-10524.4932,-3370.17485,-2797.22772
0.872756667,65.83,55.33,1.179166667,1.920833333,0.97458257,8302.51413,3292.2368,-6602.64602,-2636.92833,-1739.0955
0.924236667,59.99666667,56.47,2.324166667,2.5225,0.999419787,11359.5069,4108.92042,-10037.151,-3253.30104,-1574.65275
0.889396667,95.13666667,43.71,1.184166667,0.920833333,0.990662904,9098.33388,2547.74087,-6603.18296,-1739.9714,-2680.26725
0.86071,86.41,55.43,0.769166667,1.094166667,0.962887587,7491.59292,2661.89969,-5368.85775,-1893.88326,-2278.97367
0.87241,105.0766667,55.45,1.9325,2.884166667,0.974247464,11418.6235,4364.23108,-8885.55411,-3507.63441,-2773.86435
0.85369,96.30333333,31.71,0.7775,1.8875,0.956054453,8084.39882,3425.87497,-5399.05037,-2608.70487,-2893.21407
0.928743333,55.42333333,49.03,2.9425,1.329166667,0.998848689,13194.0365,2980.40619,-11905.1497,-2145.39626,-1518.9338
0.925536667,52.11,43.59,1.655833333,2.4625,0.999209825,9316.40785,3974.12146,-8019.42131,-3195.12459,-1472.20101
