Tin,Q,flow_shale,flow_steam,length,Pressure,Status
762.9691,437.0523,0.0126204,0.01339694,44.68683,456.2003,f
805.861,203.6483,0.02193655,0.02668794,23.74471,337.5004,f
1002.444,682.1784,0.01586096,0.02048667,61.54897,320.8276,nf
997.1995,761.4438,0.01831132,0.02543183,75.51803,370.6328,nf
872.1544,824.5511,0.02329622,0.0139996,50.98063,386.2791,nf
788.5982,535.0165,0.008887395,0.01313626,69.39197,350.8622,nf
914.5079,735.0549,0.01321652,0.02416937,24.32043,379.9166,f
775.2962,257.781,0.01781594,0.02596932,27.80664,469.678,f
905.393,429.1531,0.01750982,0.02442545,41.40882,462.0052,f
856.4671,291.3688,0.03358809,0.009721641,26.75156,431.8267,f
948.7691,411.372,0.03929468,0.008869995,68.50718,437.5222,nf
908.7946,288.8636,0.01663303,0.01358392,81.31135,441.6466,f
799.7702,639.8832,0.01083182,0.01195526,37.4256,364.0319,nf
983.3387,706.2944,0.009889489,0.02185972,75.68549,421.3036,nf
1042.223,192.8386,0.01276834,0.03120341,20.34181,388.262,f
1005.657,807.7869,0.0162065,0.01407051,59.37552,365.1225,nf
985.6767,774.1389,0.03002118,0.01016661,62.50122,395.3717,nf
1017.512,332.9515,0.02428816,0.01331461,48.26344,472.743,f
799.0226,168.7342,0.02640835,0.01780209,46.37443,331.502,f
1019.066,637.0026,0.01004485,0.009328076,66.77111,348.7553,nf
933.4497,717.133,0.02179386,0.01681885,36.79047,390.128,f
992.8118,828.5791,0.02785134,0.01208478,63.69291,336.7806,nf
808.0119,403.6907,0.01203255,0.01304094,30.36837,342.6636,f
890.7357,137.2915,0.01001339,0.01751733,60.98669,405.118,f
989.8406,495.2242,0.02780233,0.01202088,83.14489,350.3155,nf
1027.643,806.8135,0.02867027,0.0180914,34.44095,451.8428,f
911.2058,426.4327,0.0244287,0.0107329,64.15735,373.4215,nf
811.7275,456.9442,0.02044275,0.008797184,15.78102,320.9497,f
961.355,473.1427,0.0282176,0.009522227,80.72564,476.8639,nf
753.8879,388.9423,0.01930381,0.01909681,26.64245,398.4743,f
759.8959,850.0451,0.02463968,0.01897824,28.17283,332.526,f
852.8731,685.1092,0.009560824,0.02392569,65.77124,346.4329,nf
1014.289,397.8785,0.007188408,0.0306516,73.54559,356.0106,nf
830.3586,818.9491,0.0303214,0.01600796,51.57556,354.6458,nf
1033.403,232.9766,0.01349443,0.01308939,70.09919,470.1877,f
889.5225,821.7327,0.01472431,0.02062314,24.9101,465.1592,f
1034.738,811.768,0.02433351,0.01820134,65.43451,433.1443,nf
913.3332,805.5212,0.007788604,0.01390725,85.46309,424.0419,nf
766.3424,287.8895,0.02906584,0.01237794,61.65363,462.166,f
810.928,249.1486,0.02892117,0.01280141,62.58477,368.0741,f
770.1071,633.8669,0.009623603,0.02783854,34.26341,314.1784,f
885.5129,274.9595,0.007426369,0.02676293,50.28164,429.5843,f
896.2171,510.1746,0.01212307,0.02576556,87.3023,406.5091,nf
997.4239,268.0487,0.01630557,0.03024503,87.0932,415.5147,nf
951.9324,906.6987,0.02047518,0.01122069,48.9926,432.9419,nf
808.2178,313.052,0.02509227,0.01225377,40.24904,391.4037,f
996.7207,629.6964,0.02296684,0.02664162,17.32815,321.0638,f
888.5404,768.1147,0.03885073,0.009225509,32.50273,438.069,f
823.1363,409.6233,0.0207054,0.02525555,88.61403,441.9718,nf
1058.758,801.6786,0.0145451,0.03040502,17.19541,420.3142,f
812.2276,274.4026,0.01813233,0.01319233,72.03579,405.7589,f
1039.87,751.4695,0.008471825,0.03180183,23.93994,361.8985,f
986.0517,580.9257,0.03178973,0.007749444,37.46356,411.4042,f
990.6352,743.7405,0.009427259,0.01949053,43.76867,351.5346,nf
803.3653,722.9638,0.01043171,0.02760735,34.86372,456.9909,f
887.7212,168.1353,0.01125125,0.02685074,49.77829,338.4768,f
948.3249,118.594,0.02367908,0.01550233,23.42823,415.3832,f
1047.651,159.1212,0.02259074,0.01078375,17.82582,387.6714,f
954.043,234.3902,0.0103473,0.01109497,21.39795,385.1675,f
976.7424,402.973,0.0297026,0.00869831,25.58653,457.9961,f
941.938,830.4133,0.009871107,0.03894545,44.24875,343.8459,nf
898.2363,751.8659,0.01178479,0.0161439,79.87181,320.3745,nf
988.1433,897.689,0.01447069,0.01878396,15.04212,314.8717,f
751.6349,101.9383,0.02590866,0.01297874,52.38216,432.8877,f
956.5537,734.5133,0.0122068,0.01352988,54.36325,464.5298,nf
810.1245,198.1764,0.006419793,0.01977563,37.08076,427.1665,f
758.3944,813.1487,0.02016192,0.01625137,22.0049,460.9801,f
929.9417,413.0585,0.01218235,0.009134464,47.73135,355.6299,nf
980.3482,384.5302,0.01017615,0.007589999,22.37632,450.8476,f
984.4911,871.149,0.01683395,0.0129572,23.54236,479.9102,f
863.9141,153.7961,0.01021147,0.03670369,60.81972,464.0098,f
1035.469,167.152,0.0192891,0.006379731,38.70414,416.4634,f
1017.832,505.8589,0.01850916,0.01356055,80.16139,410.2203,nf
849.0429,557.5668,0.02792125,0.01227084,32.55581,322.2956,f
968.1565,283.3968,0.008645229,0.03935532,47.27247,456.3014,f
1059.566,416.1484,0.03527293,0.00782362,18.09798,330.6515,f
921.4715,601.3931,0.01031861,0.02475344,18.4446,474.0664,f
801.6626,212.841,0.0100267,0.03699365,40.14419,316.4319,f
1035.215,430.9374,0.00619352,0.0322143,63.45367,454.7075,f
1015.48,279.4281,0.008533389,0.01248407,68.21795,386.5177,nf
745.2441,225.6854,0.03683433,0.00721603,87.0604,327.6628,nf
846.5606,259.0829,0.009158118,0.02401092,84.21409,461.1871,f
962.0864,69.91265,0.007963338,0.03701401,30.98482,347.0455,f
728.4843,331.326,0.01251642,0.02796147,15.49718,392.2057,f
756.4927,128.7703,0.03767827,0.009070594,44.05064,443.5912,f
745.1836,620.7145,0.0222066,0.02277396,75.56553,424.7295,nf
991.1016,133.5892,0.01217001,0.01035407,51.2141,335.8495,f
910.2713,392.2158,0.02447681,0.02296845,78.78871,342.9498,nf
785.1233,721.8751,0.03177145,0.01278351,20.81321,337.6448,f
1062.192,707.588,0.008225932,0.01694442,61.1066,450.2312,nf
1007.849,597.6721,0.02183625,0.02129713,48.56108,422.5931,nf
786.6042,465.049,0.007504595,0.03635505,90.06615,315.4249,nf
1075.109,464.146,0.01511868,0.01435787,62.02016,470.3006,nf
852.4655,724.7053,0.02476727,0.01123942,20.75582,474.7308,f
1018.872,78.56978,0.03507077,0.01188986,81.92873,313.552,nf
742.54,538.6611,0.01493867,0.02201685,73.89558,324.386,nf
835.8014,206.4311,0.02033918,0.02537771,83.9492,324.8559,nf
913.7279,899.2162,0.02172154,0.0237586,92.03727,464.3333,nf
1027.134,547.3086,0.01532168,0.01288336,85.02881,308.3815,nf
975.8758,350.492,0.005770762,0.03204384,35.95585,333.4857,f
1065.931,473.3796,0.04261038,0.006097725,72.6278,328.0139,nf
897.7346,155.4138,0.008157949,0.01345769,40.93054,472.5107,f
771.4414,807.322,0.007521423,0.04104298,57.00154,367.8255,nf
788.068,594.0886,0.006799788,0.01627667,50.70052,478.2019,nf
893.4331,590.3933,0.02268041,0.01068606,11.63323,298.3777,f
1074.03,100.3157,0.02226309,0.01686549,76.17644,439.6691,f
1054.875,857.9,0.008925263,0.02779151,89.79784,351.4416,nf
905.7146,786.5576,0.01144556,0.0074516,53.42304,355.2108,nf
782.2648,88.45749,0.0221897,0.02014255,22.59206,494.0446,f
899.2292,647.7399,0.03582836,0.01253427,55.75646,377.963,nf
782.0307,893.9647,0.01460997,0.0314033,27.41293,372.5211,f
768.8391,872.4474,0.02760712,0.01762086,51.42556,490.2904,nf
1076.646,604.4318,0.01959248,0.01446918,23.50587,482.6793,f
823.2045,923.3255,0.01771068,0.006274857,26.94667,328.8568,nf
1047.206,411.7011,0.01801335,0.01709136,15.16482,336.1654,f
912.2443,124.1722,0.01308548,0.03114143,77.52947,431.5747,f
924.7812,377.6654,0.00490066,0.03538496,26.34468,413.2023,f
879.4717,267.8221,0.0323576,0.006305493,83.43774,341.9627,nf
961.9525,98.76083,0.007738898,0.04212252,95.14694,471.3845,f
812.9651,358.8439,0.007291118,0.02259342,8.747681,365.4629,f
1053.629,109.882,0.01015329,0.03334996,16.3914,478.5702,f
815.3537,878.6291,0.02688036,0.007799316,79.16817,378.7035,nf
784.7777,582.0702,0.02739386,0.01593583,25.40533,426.8679,f
847.3881,825.7882,0.004915889,0.01608612,19.97243,444.0025,nf
921.7357,770.8928,0.02775454,0.00432778,83.25317,419.6438,nf
753.2,178.8208,0.01056078,0.01412354,71.90513,320.1595,f
1060.448,673.156,0.02318675,0.01598124,49.9781,326.5235,nf
813.7511,405.7543,0.01515761,0.004277039,15.33445,472.8894,f
953.1465,657.4825,0.007110962,0.00823927,12.72435,363.2457,f
913.8717,642.8151,0.01600487,0.03262332,71.97908,455.0062,nf
819.2744,720.1293,0.01743805,0.03046503,54.74666,377.4004,nf
834.189,88.78037,0.02126947,0.006497696,87.21682,436.6935,f
791.2846,795.877,0.01127341,0.03271602,64.46723,485.7763,nf
842.2206,517.6201,0.01410366,0.008676792,56.22194,316.9557,nf
764.7924,802.851,0.01946419,0.008286876,90.83054,454.3285,nf
1044.139,115.2743,0.007716496,0.01885238,30.62809,311.1597,f
991.5784,755.0873,0.00753581,0.03500619,39.2181,442.9763,f
855.9958,742.9707,0.01558548,0.01701502,75.01626,417.2948,nf
726.478,650.0377,0.009659437,0.02466839,61.71481,432.2362,nf
959.8086,880.435,0.007694208,0.01663753,63.481,359.3048,nf
822.1461,776.7201,0.03221007,0.006815096,71.72238,314.3608,nf
984.1082,374.914,0.005815794,0.008221959,92.32092,407.1519,nf
743.2929,135.9146,0.0143576,0.01719679,88.47036,458.2326,f
957.04,66.56285,0.04240832,0.00499043,72.74376,438.4343,f
1030.261,76.15104,0.008786997,0.01676813,89.92478,372.7452,f
992.1331,354.6123,0.03669787,0.009575663,37.61653,313.6784,f
